tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,6,bishop,14911,White,1400
8,6,bishop,15744,White,1600
8,6,bishop,8724,White,1800
8,6,bishop,2757,White,2000
8,6,bishop,536,White,2200
8,6,bishop,45,White,2400
8,6,bishop,7,White,2600
8,6,king,451,Black,800
8,6,king,8068,Black,1000
8,6,king,44502,Black,1200
8,6,king,104549,Black,1400
8,6,king,113907,Black,1600
8,6,king,64111,Black,1800
8,6,king,20833,Black,2000
8,6,king,4466,Black,2200
8,6,king,446,Black,2400
8,6,king,36,Black,2600
8,6,king,12,White,800
8,6,king,254,White,1000
8,6,king,1209,White,1200
8,6,king,2786,White,1400
8,6,king,3093,White,1600
8,6,king,1779,White,1800
8,6,king,705,White,2000
8,6,king,164,White,2200
8,6,king,9,White,2400
8,6,king,3,White,2600
8,6,knight,33,Black,800
8,6,knight,576,Black,1000
8,6,knight,4265,Black,1200
8,6,knight,13700,Black,1400
8,6,knight,20526,Black,1600
8,6,knight,14309,Black,1800
8,6,knight,5409,Black,2000
8,6,knight,1270,Black,2200
8,6,knight,103,Black,2400
8,6,knight,7,Black,2600
8,6,knight,46,White,800
8,6,knight,956,White,1000
8,6,knight,4912,White,1200
8,6,knight,11566,White,1400
8,6,knight,12538,White,1600
8,6,knight,6249,White,1800
8,6,knight,1804,White,2000
8,6,knight,361,White,2200
8,6,knight,33,White,2400
8,6,knight,4,White,2600
8,6,pawn,27,White,800
8,6,pawn,552,White,1000
8,6,pawn,2571,White,1200
8,6,pawn,5504,White,1400
8,6,pawn,5765,White,1600
8,6,pawn,3305,White,1800
8,6,pawn,1253,White,2000
8,6,pawn,258,White,2200
8,6,pawn,27,White,2400
8,6,queen,79,Black,800
8,6,queen,1203,Black,1000
8,6,queen,7351,Black,1200
8,6,queen,20299,Black,1400
8,6,queen,22542,Black,1600
8,6,queen,11828,Black,1800
8,6,queen,3696,Black,2000
8,6,queen,790,Black,2200
8,6,queen,61,Black,2400
8,6,queen,12,Black,2600
8,6,queen,93,White,800
8,6,queen,1719,White,1000
8,6,queen,7868,White,1200
8,6,queen,16129,White,1400
8,6,queen,15603,White,1600
8,6,queen,7842,White,1800
8,6,queen,2349,White,2000
8,6,queen,482,White,2200
8,6,queen,42,White,2400
8,6,queen,2,White,2600
8,6,rook,372,Black,800
8,6,rook,8122,Black,1000
8,6,rook,47907,Black,1200
8,6,rook,120999,Black,1400
8,6,rook,129503,Black,1600
8,6,rook,64956,Black,1800
8,6,rook,19596,Black,2000
8,6,rook,4199,Black,2200
8,6,rook,344,Black,2400
8,6,rook,32,Black,2600
8,6,rook,100,White,800
8,6,rook,2232,White,1000
8,6,rook,13239,White,1200
8,6,rook,34146,White,1400
8,6,rook,38164,White,1600
8,6,rook,19548,White,1800
8,6,rook,5778,White,2000
8,6,rook,1203,White,2200
8,6,rook,85,White,2400
8,6,rook,6,White,2600
8,7,bishop,8,Black,800
8,7,bishop,151,Black,1000
8,7,bishop,728,Black,1200
8,7,bishop,2115,Black,1400
8,7,bishop,2818,Black,1600
8,7,bishop,1699,Black,1800
8,7,bishop,653,Black,2000
8,7,bishop,165,Black,2200
8,7,bishop,12,Black,2400
8,7,bishop,26,White,800
8,7,bishop,543,White,1000
