tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,8,rook,2,Black,2600
8,8,rook,73,White,800
8,8,rook,1759,White,1000
8,8,rook,9808,White,1200
8,8,rook,22301,White,1400
8,8,rook,23208,White,1600
8,8,rook,12685,White,1800
8,8,rook,4064,White,2000
8,8,rook,964,White,2200
8,8,rook,69,White,2400
8,8,rook,2,White,2600
7,1,bishop,21,Black,800
7,1,bishop,398,Black,1000
7,1,bishop,3785,Black,1200
7,1,bishop,11552,Black,1400
7,1,bishop,11283,Black,1600
7,1,bishop,5383,Black,1800
7,1,bishop,1687,Black,2000
7,1,bishop,364,Black,2200
7,1,bishop,22,Black,2400
7,1,bishop,38,White,800
7,1,bishop,951,White,1000
7,1,bishop,5399,White,1200
7,1,bishop,10840,White,1400
7,1,bishop,10279,White,1600
7,1,bishop,5146,White,1800
7,1,bishop,1708,White,2000
7,1,bishop,396,White,2200
7,1,bishop,24,White,2400
7,1,bishop,3,White,2600
7,1,king,60,Black,800
7,1,king,1135,Black,1000
7,1,king,7338,Black,1200
7,1,king,16804,Black,1400
7,1,king,15749,Black,1600
7,1,king,7617,Black,1800
7,1,king,2504,Black,2000
7,1,king,607,Black,2200
7,1,king,33,Black,2400
7,1,king,3,Black,2600
7,1,king,20,White,800
7,1,king,473,White,1000
7,1,king,2381,White,1200
7,1,king,4925,White,1400
7,1,king,5131,White,1600
7,1,king,2832,White,1800
7,1,king,1053,White,2000
7,1,king,201,White,2200
7,1,king,15,White,2400
7,1,king,1,White,2600
7,1,knight,28,Black,800
7,1,knight,407,Black,1000
7,1,knight,2876,Black,1200
7,1,knight,7864,Black,1400
7,1,knight,7626,Black,1600
7,1,knight,3275,Black,1800
7,1,knight,915,Black,2000
7,1,knight,213,Black,2200
7,1,knight,9,Black,2400
7,1,knight,2,Black,2600
7,1,knight,65,White,800
7,1,knight,1150,White,1000
7,1,knight,5241,White,1200
7,1,knight,8726,White,1400
