fromsquarerank,fromsquarefile,piece,COUNT(*),turn,avgrating
1,0,king,9,Black,2400
1,0,king,2,Black,2600
1,0,king,47,White,800
1,0,king,857,White,1000
1,0,king,4703,White,1200
1,0,king,11027,White,1400
1,0,king,10563,White,1600
1,0,king,5485,White,1800
1,0,king,1862,White,2000
1,0,king,439,White,2200
1,0,king,35,White,2400
1,0,knight,46,Black,800
1,0,knight,652,Black,1000
1,0,knight,3137,Black,1200
1,0,knight,5733,Black,1400
1,0,knight,5278,Black,1600
1,0,knight,2729,Black,1800
1,0,knight,823,Black,2000
1,0,knight,222,Black,2200
1,0,knight,21,Black,2400
1,0,knight,19,White,800
1,0,knight,253,White,1000
1,0,knight,1725,White,1200
1,0,knight,4660,White,1400
1,0,knight,5038,White,1600
1,0,knight,2373,White,1800
1,0,knight,688,White,2000
1,0,knight,152,White,2200
1,0,knight,14,White,2400
1,0,knight,1,White,2600
1,0,pawn,45,Black,800
1,0,pawn,831,Black,1000
1,0,pawn,4331,Black,1200
1,0,pawn,9530,Black,1400
1,0,pawn,10126,Black,1600
1,0,pawn,5471,Black,1800
1,0,pawn,1791,Black,2000
1,0,pawn,394,Black,2200
1,0,pawn,25,Black,2400
1,0,pawn,2,Black,2600
1,0,pawn,1159,White,800
1,0,pawn,23960,White,1000
1,0,pawn,147080,White,1200
1,0,pawn,359759,White,1400
1,0,pawn,373248,White,1600
1,0,pawn,189869,White,1800
1,0,pawn,58485,White,2000
1,0,pawn,12607,White,2200
1,0,pawn,1058,White,2400
1,0,pawn,84,White,2600
1,0,queen,169,Black,800
1,0,queen,2251,Black,1000
1,0,queen,10426,Black,1200
1,0,queen,20588,Black,1400
1,0,queen,19331,Black,1600
1,0,queen,10147,Black,1800
1,0,queen,3344,Black,2000
1,0,queen,812,Black,2200
1,0,queen,52,Black,2400
1,0,queen,8,Black,2600
1,0,queen,17,White,800
1,0,queen,331,White,1000
1,0,queen,2041,White,1200
1,0,queen,5466,White,1400
1,0,queen,6657,White,1600
1,0,queen,3645,White,1800
1,0,queen,1210,White,2000
1,0,queen,285,White,2200
1,0,queen,22,White,2400
1,0,queen,3,White,2600
1,0,rook,115,Black,800
1,0,rook,2667,Black,1000
1,0,rook,16368,Black,1200
1,0,rook,39652,Black,1400
1,0,rook,43791,Black,1600
1,0,rook,24482,Black,1800
1,0,rook,8323,Black,2000
1,0,rook,1960,Black,2200
1,0,rook,149,Black,2400
1,0,rook,21,Black,2600
1,0,rook,45,White,800
1,0,rook,858,White,1000
1,0,rook,5973,White,1200
1,0,rook,15543,White,1400
1,0,rook,15830,White,1600
1,0,rook,8167,White,1800
1,0,rook,2837,White,2000
1,0,rook,612,White,2200
1,0,rook,47,White,2400
1,0,rook,2,White,2600
1,1,bishop,66,Black,800
1,1,bishop,1516,Black,1000
1,1,bishop,8223,Black,1200
1,1,bishop,18047,Black,1400
1,1,bishop,17698,Black,1600
1,1,bishop,9729,Black,1800
1,1,bishop,3121,Black,2000
1,1,bishop,650,Black,2200
1,1,bishop,62,Black,2400
1,1,bishop,6,Black,2600
1,1,bishop,182,White,800
1,1,bishop,4158,White,1000
1,1,bishop,28305,White,1200
1,1,bishop,74543,White,1400
1,1,bishop,80601,White,1600
1,1,bishop,42284,White,1800
1,1,bishop,13783,White,2000
1,1,bishop,3163,White,2200
1,1,bishop,420,White,2400
1,1,bishop,53,White,2600
1,1,king,39,Black,800
1,1,king,761,Black,1000
1,1,king,3934,Black,1200
