tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
2,4,pawn,18868,Black,Bad
2,4,pawn,35328,Black,Good
2,4,pawn,110690,White,Bad
2,4,pawn,159776,White,Good
2,4,queen,20279,Black,Bad
2,4,queen,28845,Black,Good
2,4,queen,38229,White,Bad
2,4,queen,62600,White,Good
2,4,rook,16983,Black,Bad
2,4,rook,29217,Black,Good
2,4,rook,22009,White,Bad
2,4,rook,43310,White,Good
2,5,bishop,54665,Black,Bad
2,5,bishop,68674,Black,Good
2,5,bishop,35897,White,Bad
2,5,bishop,74801,White,Good
2,5,king,8296,Black,Bad
2,5,king,14294,Black,Good
2,5,king,41707,White,Bad
2,5,king,85656,White,Good
2,5,knight,31191,Black,Bad
2,5,knight,38977,Black,Good
2,5,knight,373989,White,Bad
2,5,knight,447059,White,Good
2,5,pawn,22434,Black,Bad
2,5,pawn,38755,Black,Good
2,5,pawn,112246,White,Bad
2,5,pawn,151713,White,Good
2,5,queen,22121,Black,Bad
2,5,queen,26780,Black,Good
2,5,queen,101602,White,Bad
2,5,queen,97377,White,Good
2,5,rook,15681,Black,Bad
2,5,rook,25898,Black,Good
2,5,rook,19426,White,Bad
2,5,rook,43785,White,Good
2,6,bishop,9475,Black,Bad
2,6,bishop,18748,Black,Good
2,6,bishop,20575,White,Bad
2,6,bishop,47420,White,Good
2,6,king,7387,Black,Bad
2,6,king,13343,Black,Good
2,6,king,38531,White,Bad
2,6,king,70581,White,Good
2,6,knight,13405,Black,Bad
2,6,knight,22283,Black,Good
2,6,knight,20989,White,Bad
2,6,knight,57992,White,Good
2,6,pawn,17186,Black,Bad
2,6,pawn,34404,Black,Good
2,6,pawn,116023,White,Bad
2,6,pawn,211564,White,Good
2,6,queen,14570,Black,Bad
2,6,queen,23286,Black,Good
2,6,queen,30459,White,Bad
2,6,queen,44609,White,Good
2,6,rook,10336,Black,Bad
2,6,rook,19436,Black,Good
2,6,rook,12581,White,Bad
2,6,rook,24852,White,Good
2,7,bishop,23143,Black,Bad
2,7,bishop,25976,Black,Good
2,7,bishop,13286,White,Bad
2,7,bishop,20566,White,Good
2,7,king,5115,Black,Bad
2,7,king,7570,Black,Good
2,7,king,20801,White,Bad
2,7,king,36140,White,Good
2,7,knight,5575,Black,Bad
2,7,knight,7847,Black,Good
2,7,knight,24507,White,Bad
2,7,knight,17330,White,Good
2,7,pawn,14946,Black,Bad
2,7,pawn,24256,Black,Good
2,7,pawn,127931,White,Bad
2,7,pawn,197422,White,Good
2,7,queen,15979,Black,Bad
2,7,queen,19839,Black,Good
2,7,queen,13316,White,Bad
2,7,queen,18424,White,Good
2,7,rook,12468,Black,Bad
2,7,rook,17984,Black,Good
2,7,rook,9970,White,Bad
2,7,rook,17047,White,Good
3,0,bishop,8103,Black,Bad
3,0,bishop,10260,Black,Good
3,0,bishop,18873,White,Bad
3,0,bishop,17823,White,Good
3,0,king,6143,Black,Bad
3,0,king,8006,Black,Good
3,0,king,6766,White,Bad
3,0,king,8205,White,Good
3,0,knight,6554,Black,Bad
3,0,knight,10923,Black,Good
3,0,knight,19355,White,Bad
3,0,knight,29949,White,Good
3,0,pawn,35302,Black,Bad
3,0,pawn,64803,Black,Good
3,0,pawn,87133,White,Bad
3,0,pawn,141866,White,Good
3,0,queen,11209,Black,Bad
3,0,queen,13772,Black,Good
3,0,queen,32896,White,Bad
3,0,queen,32847,White,Good
3,0,rook,13182,Black,Bad
3,0,rook,21981,Black,Good
3,0,rook,10161,White,Bad
3,0,rook,15690,White,Good
3,1,bishop,89583,Black,Bad
3,1,bishop,77596,Black,Good
3,1,bishop,18018,White,Bad
3,1,bishop,21158,White,Good
3,1,king,11183,Black,Bad
3,1,king,16434,Black,Good
3,1,king,12273,White,Bad
3,1,king,17788,White,Good
3,1,knight,50820,Black,Bad
3,1,knight,49052,Black,Good
3,1,knight,8542,White,Bad
3,1,knight,12113,White,Good
3,1,pawn,55166,Black,Bad
3,1,pawn,96327,Black,Good
3,1,pawn,121738,White,Bad
3,1,pawn,169033,White,Good
3,1,queen,23848,Black,Bad
3,1,queen,25905,Black,Good
3,1,queen,16246,White,Bad
3,1,queen,19361,White,Good
3,1,rook,12100,Black,Bad
3,1,rook,22597,Black,Good
3,1,rook,9254,White,Bad
3,1,rook,16442,White,Good
3,2,bishop,20211,Black,Bad
3,2,bishop,31937,Black,Good
3,2,bishop,157535,White,Bad
3,2,bishop,140739,White,Good
3,2,king,12718,Black,Bad
3,2,king,20609,Black,Good
3,2,king,16465,White,Bad
3,2,king,27267,White,Good
3,2,knight,32864,Black,Bad
3,2,knight,56654,Black,Good
3,2,knight,35467,White,Bad
3,2,knight,59444,White,Good
3,2,pawn,74506,Black,Bad
3,2,pawn,115277,Black,Good
3,2,pawn,164373,White,Bad
3,2,pawn,241219,White,Good
3,2,queen,17492,Black,Bad
3,2,queen,24213,Black,Good
3,2,queen,28044,White,Bad
3,2,queen,37653,White,Good
3,2,rook,14897,Black,Bad
3,2,rook,32213,Black,Good
3,2,rook,10969,White,Bad
3,2,rook,22979,White,Good
3,3,bishop,36515,Black,Bad
3,3,bishop,58265,Black,Good
3,3,bishop,30367,White,Bad
3,3,bishop,60957,White,Good
3,3,king,13143,Black,Bad
3,3,king,23010,Black,Good
3,3,king,18561,White,Bad
3,3,king,35864,White,Good
3,3,knight,97419,Black,Bad
3,3,knight,101353,Black,Good
3,3,knight,92512,White,Bad
3,3,knight,153653,White,Good
3,3,pawn,144415,Black,Bad
3,3,pawn,235188,Black,Good
3,3,pawn,324658,White,Bad
3,3,pawn,311304,White,Good
3,3,queen,37480,Black,Bad
3,3,queen,49064,Black,Good
3,3,queen,52087,White,Bad
3,3,queen,63388,White,Good
3,3,rook,19008,Black,Bad
3,3,rook,34492,Black,Good
3,3,rook,17935,White,Bad
3,3,rook,34239,White,Good
3,4,bishop,32842,Black,Bad
3,4,bishop,53652,Black,Good
3,4,bishop,34684,White,Bad
3,4,bishop,73959,White,Good
3,4,king,13935,Black,Bad
3,4,king,24224,Black,Good
3,4,king,21501,White,Bad
3,4,king,43854,White,Good
3,4,knight,107464,Black,Bad
3,4,knight,151510,Black,Good
3,4,knight,87802,White,Bad
3,4,knight,166467,White,Good
3,4,pawn,103420,Black,Bad
3,4,pawn,171420,Black,Good
3,4,pawn,356689,White,Bad
3,4,pawn,198329,White,Good
3,4,queen,33291,Black,Bad
3,4,queen,36015,Black,Good
3,4,queen,37000,White,Bad
3,4,queen,55623,White,Good
3,4,rook,19653,Black,Bad
3,4,rook,32348,Black,Good
3,4,rook,21226,White,Bad
3,4,rook,34814,White,Good
3,5,bishop,18498,Black,Bad
3,5,bishop,31384,Black,Good
3,5,bishop,83585,White,Bad
3,5,bishop,130772,White,Good
3,5,king,14659,Black,Bad
3,5,king,24759,Black,Good
3,5,king,24053,White,Bad
